ID;Character.old;Character;Check.box.label;Check.box.id
1;;Tronco inerme;Tronco;tronco
2;;Tronco armado;Tronco;tronco
3;;Ramos inermes;Ramos;ramos
4;;Ramos armados;Ramos;ramos
5;;Ramos sem lenticelas;Ramos;ramos
6;;Ramos com lenticelas;Ramos;ramos
7;;Ramos sem indumento;Ramos;ramos
8;;Ramos com indumento;Ramos;ramos
9;;Nectários extraflorais ausentes;Nectários;nectarios
10;;Nectários extraflorais presentes na axila;Nectários;nectarios
11;;Nectários extraflorais presentes no pecíolo;Nectários;nectarios
12;;Nectários extraflorais presentes na raque;Nectários;nectarios
13;;Nectários extraflorais presentes na ráquila;Nectários;nectarios
14;;Nectários extraflorais presentes no folíolo;Nectários;nectarios
15;;Pontuações translúcidas ausentes;Pontuações;pontuacoes
16;;Pontuações translúcidas presentes;Pontuações;pontuacoes
17;;Glândulas peltadas ausentes;Glândulas;glandulas
18;;Glândulas peltadas presentes;Glândulas;glandulas
19;;Estipelas ausentes;Estipelas;estipelas
20;;Estipelas presentes;Estipelas;estipelas
21;;Folhas alternas;Filotaxia;filotaxia
22;;Folhas opostas;Filotaxia;filotaxia
23;;Folíolos alternos;Filotaxia;filotaxia
24;;Folíolos opostos a subopostos;Filotaxia;filotaxia
25;;Foliólulos alternos;Filotaxia;filotaxia
26;;Foliólulos opostos a subopostos;Filotaxia;filotaxia
27;;Folhas pinadas;Folhas;folhas
28;;Folhas bipinadas;Folhas;folhas
29;;Folhas paripinadas;Folhas;folhas
30;;Folhas imparipinadas;Folhas;folhas
31;;Folhas parcialmente bipinadas;Folhas;folhas
32;;Folíolo: 1;Folhas;folhas
33;;Folíolos: 2;Folhas;folhas
34;;Folíolos: 3;Folhas;folhas
35;;Folíolos: 4;Folhas;folhas
36;;Folíolos: 5;Folhas;folhas
37;;Folíolos: 6;Folhas;folhas
38;;Folíolos: 7;Folhas;folhas
39;;Folíolos: 8;Folhas;folhas
40;;Folíolos: 9;Folhas;folhas
41;;Folíolos: 10;Folhas;folhas
42;;Folíolos: 11;Folhas;folhas
43;;Folíolos: 12;Folhas;folhas
44;;Folíolos: 13;Folhas;folhas
45;;Folíolos: 14;Folhas;folhas
46;;Folíolos: 15;Folhas;folhas
47;;Folíolos: 16;Folhas;folhas
48;;Folíolos: 18;Folhas;folhas
49;;Folíolos: 19;Folhas;folhas
50;;Folíolos: 20;Folhas;folhas
