Character;ID;Andira fraxinifolia;Andira ormosioides;Apuleia leiocarpa;Barnebydendron riedelii;Bauhinia forficata;Cassia ferruginea;Centrolobium robustum;Chamaecrista ensiformis;Copaifera lucens;Copaifera trapezifolia;Dahlstedtia pinnata;Dalbergia foliolosa;Dalbergia nigra;Dimorphandra exaltata;Erythrina verna;Exostyles venusta;Hymenaea altissima;Hymenolobium janeirense;Inga bullata;Inga edulis;Inga flagelliformis;Inga lanceifolia;Inga lenticellata;Inga marginata;Inga mendoncaei;Inga sessilis;Inga striata;Inga tenuis;Jupunba langsdorffii;Jupunba villosa;Machaerium brasiliense;Machaerium hirtum;Machaerium nyctitans;Marlimorimia contorta;Marlimorimia warmingii;Moldenhawera polysperma;Muellera filipes;Myrocarpus frondosus;Ormosia fastigiata;Peltogyne angustiflora;Peltophorum dubium;Piptadenia gonoacantha;Piptadenia paniculata;Pityrocarpa inaequalis;Pityrocarpa schumanniana;Platycyamus regnellii;Platymiscium floribundum;Platymiscium pubescens;Platypodium elegans;Pseudalbizzia polycephala;Pterocarpus violaceus;Robrichia glaziovii;Schizolobium parahyba;Senna macranthera;Senna multijuga;Stryphnodendron dryaticum;Swartzia apetala;Swartzia flaemingii;Swartzia myrtifolia;Swartzia simplex;Tachigali beaurepairei;Tachigali paratyensis;Tachigali pilgeriana;Tachigali urbaniana;Vatairea heteroptera;Zollernia glabra;Zollernia ilicifolia
Tronco inerme;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0
Tronco armado;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ramos inermes;3;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Ramos armados;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ramos sem lenticelas;5;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Ramos com lenticelas;6;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ramos sem indumento;7;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Ramos com indumento;8;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;0;0;1;1;1;0;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Nectários extraflorais ausentes;9;1;1;1;1;0;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nectários extraflorais presentes na axila;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
